question_id,question_text,choice_id,choice_text,is_correct,explanation
q001,日本の首都はどこですか？,q001_c001,大阪,false,
q001,日本の首都はどこですか？,q001_c002,東京,true,日本の首都は東京です。
q001,日本の首都はどこですか？,q001_c003,京都,false,
q001,日本の首都はどこですか？,q001_c004,札幌,false,
q002,水が氷になる温度として最も適切なものはどれですか？,q002_c001,0℃,true,標準的な気圧では、水は0℃で凍り始めます。
q002,水が氷になる温度として最も適切なものはどれですか？,q002_c002,10℃,false,
q002,水が氷になる温度として最も適切なものはどれですか？,q002_c003,50℃,false,
q002,水が氷になる温度として最も適切なものはどれですか？,q002_c004,100℃,false,
q003,次のうち、果物として一般的に扱われるものはどれですか？,q003_c001,にんじん,false,
q003,次のうち、果物として一般的に扱われるものはどれですか？,q003_c002,じゃがいも,false,
q003,次のうち、果物として一般的に扱われるものはどれですか？,q003_c003,りんご,true,りんごは果物として一般的に扱われます。
q003,次のうち、果物として一般的に扱われるものはどれですか？,q003_c004,キャベツ,false,
